1024, 103.4737us, 0.0099G/s
2048, 106.0963us, 0.0193G/s
4096, 112.0567us, 0.0366G/s
8192, 105.2618us, 0.0778G/s
16384, 101.0895us, 0.1621G/s
32768, 101.8047us, 0.3219G/s
65536, 102.9968us, 0.6363G/s
131072, 105.1426us, 1.2466G/s
262144, 106.5731us, 2.4598G/s
524288, 112.0567us, 4.6788G/s
1048576, 124.6929us, 8.4093G/s
2097152, 208.0202us, 10.0815G/s
4194304, 292.8972us, 14.3201G/s
8388608, 360.1313us, 23.2932G/s
16777216, 561.8334us, 29.8616G/s
33554432, 957.6082us, 35.0398G/s
67108864, 2115.1304us, 31.7280G/s
134217728, 3771.4243us, 35.5881G/s
268435456, 6925.8213us, 38.7586G/s
536870912, 13123.3931us, 40.9095G/s